algorithm,scenario_id,t,T,x,z,a,B_accept,g_proposals,h_proposals,total_proposals,acceptance_rate,mean_proposals_per_draw,median_proposals_per_draw,B_time,timing_reps,elapsed_median_sec,elapsed_mean_sec,elapsed_sd_sec,sec_per_draw_median,acceptance_seed
3,133,0.1,3.0,1.0,1.95,2.0,2000,308800,0,308800,0.006476683937823834,154.4,106.0,10000,1,20.98085929199999,20.98085929199999,,0.002098085929199999,100133
3,134,1.0,3.0,1.0,1.95,2.0,2000,355743,0,355743,0.005622036132826226,177.8715,120.0,10000,1,28.538181957999996,28.538181957999996,,0.0028538181957999996,100134
3,135,1.5,3.0,1.0,1.95,2.0,2000,351620,0,351620,0.005687958591661452,175.81,123.5,10000,1,67.09685962500009,67.09685962500009,,0.006709685962500009,100135
3,136,2.0,3.0,1.0,1.95,2.0,2000,13187,0,13187,0.1516645180859938,6.5935,5.0,10000,1,1.2381937919999473,1.2381937919999473,,0.00012381937919999473,100136
3,137,2.5,3.0,1.0,1.95,2.0,2000,14269,0,14269,0.14016399187048847,7.1345,5.0,10000,1,1.1829763750000666,1.1829763750000666,,0.00011829763750000666,100137
3,138,2.9,3.0,1.0,1.95,2.0,2000,19890,0,19890,0.10055304172951232,9.945,7.0,10000,1,1.4707227080000393,1.4707227080000393,,0.00014707227080000394,100138
3,139,0.1,3.0,1.4749999999999999,1.95,2.0,2000,377616,0,377616,0.005296385746366679,188.808,130.0,10000,1,26.128230083000062,26.128230083000062,,0.0026128230083000063,100139
3,140,1.0,3.0,1.4749999999999999,1.95,2.0,2000,344745,0,344745,0.005801389432769148,172.3725,123.0,10000,1,28.558727625000074,28.558727625000074,,0.0028558727625000073,100140
3,141,1.5,3.0,1.4749999999999999,1.95,2.0,2000,353625,0,353625,0.005655708731000354,176.8125,121.0,10000,1,51.289335042000175,51.289335042000175,,0.005128933504200017,100141
3,142,2.0,3.0,1.4749999999999999,1.95,2.0,2000,28303,0,28303,0.070663887220436,14.1515,10.0,10000,1,2.367511375000049,2.367511375000049,,0.00023675113750000492,100142
3,143,2.5,3.0,1.4749999999999999,1.95,2.0,2000,28987,0,28987,0.06899644668299583,14.4935,10.0,10000,1,2.0194201250001242,2.0194201250001242,,0.00020194201250001243,100143
3,144,2.9,3.0,1.4749999999999999,1.95,2.0,2000,38708,0,38708,0.05166890565257828,19.354,13.5,10000,1,2.9783480000000964,2.9783480000000964,,0.0002978348000000096,100144
3,145,0.1,3.0,1.95,1.95,2.0,2000,503638,0,503638,0.003971106231062787,251.819,175.0,10000,1,35.855058540999835,35.855058540999835,,0.0035855058540999836,100145
3,146,1.0,3.0,1.95,1.95,2.0,2000,356229,0,356229,0.005614366039822698,178.1145,124.0,10000,1,27.965535749999844,27.965535749999844,,0.0027965535749999845,100146
