algorithm,scenario_id,t,x,z,repetition,B_time,timing_seed,elapsed_sec
3,138,2.9,1.0,1.95,1,10000,213801,1.4707227080000393
3,139,0.1,1.4749999999999999,1.95,1,10000,213901,26.128230083000062
3,140,1.0,1.4749999999999999,1.95,1,10000,214001,28.558727625000074
3,141,1.5,1.4749999999999999,1.95,1,10000,214101,51.289335042000175
3,142,2.0,1.4749999999999999,1.95,1,10000,214201,2.367511375000049
3,143,2.5,1.4749999999999999,1.95,1,10000,214301,2.0194201250001242
3,144,2.9,1.4749999999999999,1.95,1,10000,214401,2.9783480000000964
3,145,0.1,1.95,1.95,1,10000,214501,35.855058540999835
3,146,1.0,1.95,1.95,1,10000,214601,27.965535749999844
3,147,1.5,1.95,1.95,1,10000,214701,60.216662083000074
3,148,2.0,1.95,1.95,1,10000,214801,28.156720791999987
3,149,2.5,1.95,1.95,1,10000,214901,23.006610333000026
3,150,2.9,1.95,1.95,1,10000,215001,36.234511957999985
4,1,0.1,0.0,0.05,1,10000,200101,1.0015038340000046
4,2,1.0,0.0,0.05,1,10000,200201,1.223830082999939
4,3,1.5,0.0,0.05,1,10000,200301,1.153275542000074
4,4,2.0,0.0,0.05,1,10000,200401,0.37296658300010677
4,5,2.5,0.0,0.05,1,10000,200501,0.31490916600000673
4,6,2.9,0.0,0.05,1,10000,200601,0.4629059579999648
4,7,0.1,0.0,0.525,1,10000,200701,1.137851167000008
4,8,1.0,0.0,0.525,1,10000,200801,1.282239249999975
4,9,1.5,0.0,0.525,1,10000,200901,1.1968456249999235
4,10,2.0,0.0,0.525,1,10000,201001,0.384494999999788
4,11,2.5,0.0,0.525,1,10000,201101,0.34812462500008223
4,12,2.9,0.0,0.525,1,10000,201201,0.34478949999993347
4,13,0.1,0.0,1.0,1,10000,201301,1.5961017919998994
4,14,1.0,0.0,1.0,1,10000,201401,1.7630401670000992
4,15,1.5,0.0,1.0,1,10000,201501,1.5912914589998763
4,16,2.0,0.0,1.0,1,10000,201601,0.3756766249998691
4,17,2.5,0.0,1.0,1,10000,201701,0.3105103749999216
4,18,2.9,0.0,1.0,1,10000,201801,0.28448595800000476
4,19,0.1,0.0,1.4749999999999999,1,10000,201901,3.1692223750001176
4,20,1.0,0.0,1.4749999999999999,1,10000,202001,3.22266466699989
4,21,1.5,0.0,1.4749999999999999,1,10000,202101,3.217964916000028
4,22,2.0,0.0,1.4749999999999999,1,10000,202201,0.3755436250000912
4,23,2.5,0.0,1.4749999999999999,1,10000,202301,0.34721333299989965
4,24,2.9,0.0,1.4749999999999999,1,10000,202401,0.3386281250000138
4,25,0.1,0.0,1.95,1,10000,202501,39.447267709000016
4,26,1.0,0.0,1.95,1,10000,202601,39.36045854200006
4,27,1.5,0.0,1.95,1,10000,202701,38.82660791700005
4,28,2.0,0.0,1.95,1,10000,202801,0.3655612080001447
4,29,2.5,0.0,1.95,1,10000,202901,0.3099944579998919
4,30,2.9,0.0,1.95,1,10000,203001,0.4560906660001365
5,1,0.1,0.05,2.0,1,10000,200101,0.45645504200001596
5,2,1.0,0.05,2.0,1,10000,200201,0.36661370799993165
5,3,1.5,0.05,2.0,1,10000,200301,1.1459567080000852
5,4,2.0,0.05,2.0,1,10000,200401,1.2262677079997957
5,5,2.5,0.05,2.0,1,10000,200501,0.8506257499998355
5,6,2.9,0.05,2.0,1,10000,200601,1.0340863750000153
5,7,0.1,0.525,2.0,1,10000,200701,0.3423979579999923
5,8,1.0,0.525,2.0,1,10000,200801,0.38274204200001805
5,9,1.5,0.525,2.0,1,10000,200901,1.1557961249998243
5,10,2.0,0.525,2.0,1,10000,201001,1.2337687080000705
5,11,2.5,0.525,2.0,1,10000,201101,0.9039603749999969
5,12,2.9,0.525,2.0,1,10000,201201,1.1443801670000084
5,13,0.1,1.0,2.0,1,10000,201301,0.28594474999999875
5,14,1.0,1.0,2.0,1,10000,201401,0.3751178750001145
5,15,1.5,1.0,2.0,1,10000,201501,1.5989882909998414
5,16,2.0,1.0,2.0,1,10000,201601,1.6861412910000126
5,17,2.5,1.0,2.0,1,10000,201701,1.265377375000071
5,18,2.9,1.0,2.0,1,10000,201801,1.6390371669999695
5,19,0.1,1.4749999999999999,2.0,1,10000,201901,0.35019120900005873
5,20,1.0,1.4749999999999999,2.0,1,10000,202001,0.38578258300003654
5,21,1.5,1.4749999999999999,2.0,1,10000,202101,3.2744974170000205
5,22,2.0,1.4749999999999999,2.0,1,10000,202201,3.2470502500000293
5,23,2.5,1.4749999999999999,2.0,1,10000,202301,2.1656000000000404
5,24,2.9,1.4749999999999999,2.0,1,10000,202401,3.2713102499999422
5,25,0.1,1.95,2.0,1,10000,202501,0.4676092500001232
5,26,1.0,1.95,2.0,1,10000,202601,0.36791500000003907
5,27,1.5,1.95,2.0,1,10000,202701,38.68334512499996
5,28,2.0,1.95,2.0,1,10000,202801,39.10150908300011
5,29,2.5,1.95,2.0,1,10000,202901,24.95581987499986
5,30,2.9,1.95,2.0,1,10000,203001,39.15994116600018
6,1,0.1,0.0,2.0,1,10000,200101,0.4885602080000808
6,2,1.0,0.0,2.0,1,10000,200201,0.4852390830001241
6,3,1.5,0.0,2.0,1,10000,200301,0.47663137499989716
6,4,2.0,0.0,2.0,1,10000,200401,0.4864466250000987
6,5,2.5,0.0,2.0,1,10000,200501,0.32228983300001346
6,6,2.9,0.0,2.0,1,10000,200601,0.4913697920001141
