t,y,theory_density,kde_density
0.2,1.585,0.05151310944346469,0.0441144918107146
0.2,1.59,0.049606818153291175,0.04204859913622529
0.2,1.595,0.04775634039948031,0.040096967486466004
0.2,1.6,0.04596050332126718,0.03825928786429111
0.2,1.605,0.04421814277459572,0.03653392872484354
0.2,1.61,0.042528103877062795,0.034918076154073684
0.2,1.615,0.04088924152886318,0.03340795952498439
0.2,1.62,0.039300420910040317,0.031999135872680266
0.2,1.625,0.03776051795437413,0.03068680125216482
0.2,1.6300000000000001,0.03626841980024668,0.02946609540838041
0.2,1.635,0.03482302521885294,0.02833236735260425
0.2,1.6400000000000001,0.03342324502013305,0.027281373792631573
0.2,1.645,0.03206800243682532,0.02630938942847773
0.2,1.6500000000000001,0.03075623348704644,0.02541321727507812
0.2,1.655,0.029486887315827246,0.024590097577485443
0.2,1.6600000000000001,0.02825892651603735,0.023837524570407366
0.2,1.665,0.02707132742915174,0.023152990274383556
0.2,1.67,0.025923080426316625,0.02253368272849903
0.2,1.675,0.024813190170188213,0.02197617168953768
0.2,1.68,0.02374067585802266,0.02147611727009619
0.2,1.685,0.022704571446507022,0.021028035941195844
0.2,1.69,0.021703925858828122,0.020625153835828865
0.2,1.695,0.020737803174482386,0.02025936976031696
0.2,1.7,0.019805282802336933,0.019921340470590587
0.2,1.705,0.018905459637456115,0.019600689566360144
0.2,1.71,0.018037444202214516,0.019286329906630803
0.2,1.715,0.017200362772219004,0.018966878887188836
0.2,1.72,0.016393357487566203,0.018631137276707687
0.2,1.725,0.015615586449964951,0.01826859640412037
0.2,1.73,0.014866223806254198,0.017869935850448125
0.2,1.735,0.014144459818846997,0.017427474601353417
