parameter,alpha_continuous_N,beta_continuous_N,alpha_log10_N,beta_log10_N,beta_plot_y,alpha_ceil_N,beta_ceil_N
5.1107094188376765,3.7843656998121222,2.710034210038142,0.57799309753324,0.43297477321278777,4.890290581162323,4,3
5.130747494989981,3.776766636350861,2.704737029022357,0.5771201509180308,0.43212504674526736,4.8702525050100185,4,3
5.1507855711422845,3.769212341726715,2.699470789544934,0.5762506044813186,0.4312786324154907,4.850214428857715,4,3
5.17082364729459,3.761702379597872,2.694235191551392,0.5753844318280122,0.43043550450300333,4.83017635270541,4,3
5.190861723446894,3.7542363195446873,2.6890299390451875,0.5745216068692212,0.42959563758579156,4.810138276553105,4,3
5.210899799599199,3.746813736966824,2.6838547400174257,0.573662103817537,0.4287590065356825,4.790100200400801,4,3
5.230937875751503,3.739434212982564,2.6787093063780567,0.5728058971824062,0.42792558651383367,4.770062124248496,4,3
5.250975951903809,3.732097334330243,2.6735933538885113,0.5719529617655901,0.427095352966307,4.750024048096191,4,3
5.271014028056113,3.7248026932717493,2.6685066020957553,0.5711032726567128,0.4262682816197294,4.729985971943886,4,3
5.2910521042084175,3.7175498874980453,2.6634487742677115,0.5702568052288928,0.4254443484770339,4.709947895791582,4,3
5.311090180360722,3.710338520036645,2.6584195973300258,0.5694135351344568,0.42462352981328155,4.689909819639277,4,3
5.3311282565130265,3.7031681991610226,2.653418801804143,0.568573438300735,0.42380580217156316,4.669871743486973,4,3
5.351166332665331,3.6960385383018846,2.6484461217466566,0.567736490925935,0.42299114235897645,4.6498336673346685,4,3
5.371204408817635,3.6889491559602705,2.643501294689906,0.5669026694750923,0.422179527442679,4.629795591182364,4,3
5.391242484969941,3.681899675622436,2.638584061583788,0.5660719506760966,0.42137093474601517,4.609757515030059,4,3
5.411280561122245,3.6748897256764748,2.633694166738757,0.5652443115157924,0.4205653418447138,4.589719438877754,4,3
5.43131863727455,3.6679189393306375,2.6288313577699762,0.5644197292361499,0.41976272656315694,4.56968136272545,4,3
5.451356713426854,3.6609869545333096,2.623995385542611,0.563598181330509,0.4189630669707175,4.549643286573145,4,3
5.4713947895791595,3.6540934138946004,2.6191860041182107,0.5627796455398894,0.41816634137816305,4.52960521042084,4,3
5.491432865731463,3.6472379646095168,2.6144029707021805,0.5619640998493699,0.41737252833412664,4.509567134268536,4,3
5.511470941883768,3.640420258382676,2.609646045592294,0.5611515224845339,0.41658160662164045,4.489529058116231,4,3
5.531509018036073,3.6336399513545206,2.6049149921282417,0.5603418919079773,0.415793555254734,4.469490981963927,4,3
5.551547094188377,3.6268967040290065,2.6002095766421744,0.5595351868158823,0.41500835347509235,4.449452905811622,4,3
5.571585170340682,3.6201901812027266,2.595529568410232,0.5587313861346507,0.4142259807487757,4.429414829659318,4,3
5.591623246492986,3.613520051895427,2.5908747396050233,0.5579304690175982,0.4134464167629967,4.409376753507013,4,3
5.611661322645292,3.606885989281907,2.5862448652490424,0.5571324148417095,0.4126696414229566,4.389338677354708,4,3
5.631699398797596,3.600287670625242,2.581639723168999,0.556337203204448,0.41189563484873676,4.369300601202403,4,3
5.6517374749499005,3.5937247772113188,2.577059093951036,0.555544813920625,0.41112437737224616,4.349262525050099,4,3
5.671775551102205,3.587196994284648,2.572502760896823,0.5547552270193231,0.4103558495342225,4.3292244488977945,4,3
5.69181362725451,3.580704010985423,2.5679705099804955,0.5539684227408739,0.40959003208128597,4.309186372745489,4,3
