panel,t,x,a,y,theory_density,kde_density
1,1.0,0.5,1.8,0.37979999999999997,0.548309955284559,0.5694803759571382
1,1.0,0.5,1.8,0.3816,0.5504857581434672,0.5726067274974642
1,1.0,0.5,1.8,0.38339999999999996,0.5526557931713906,0.5757261205003699
1,1.0,0.5,1.8,0.3852,0.5548200384468286,0.5788369893933035
1,1.0,0.5,1.8,0.387,0.5569784721186691,0.5819377589245691
1,1.0,0.5,1.8,0.3888,0.5591310724064232,0.5850268489344497
1,1.0,0.5,1.8,0.3906,0.5612778176004595,0.5881026792089789
1,1.0,0.5,1.8,0.39239999999999997,0.5634186860622364,0.5911636743941029
1,1.0,0.5,1.8,0.3942,0.5655536562245325,0.5942082689468923
1,1.0,0.5,1.8,0.39599999999999996,0.5676827065916785,0.5972349120998977
1,1.0,0.5,1.8,0.3978,0.5698058157397846,0.6002420728139434
1,1.0,0.5,1.8,0.3996,0.5719229623169689,0.6032282446942197
1,1.0,0.5,1.8,0.4014,0.574034125043583,0.6061919508442892
1,1.0,0.5,1.8,0.4032,0.5761392827124379,0.6091317486322297
1,1.0,0.5,1.8,0.40499999999999997,0.578238414189028,0.6120462343433121
1,1.0,0.5,1.8,0.4068,0.580331498411753,0.6149340476935296
1,1.0,0.5,1.8,0.40859999999999996,0.5824185143921389,0.6177938761788168
1,1.0,0.5,1.8,0.4104,0.5844994412150607,0.6206244592350459
1,1.0,0.5,1.8,0.4122,0.5865742580389577,0.6234245921846777
1,1.0,0.5,1.8,0.414,0.588642944096054,0.6261931299466788
1,1.0,0.5,1.8,0.4158,0.5907054786925735,0.6289289904873169
1,1.0,0.5,1.8,0.41759999999999997,0.5927618412089549,0.6316311579905906
1,1.0,0.5,1.8,0.4194,0.5948120111000665,0.6342986857283134
1,1.0,0.5,1.8,0.42119999999999996,0.5968559678954183,0.6369306986114884
1,1.0,0.5,1.8,0.423,0.5988936911993724,0.6395263954059905
1,1.0,0.5,1.8,0.4248,0.6009251606913543,0.6420850505975727
1,1.0,0.5,1.8,0.4266,0.6029503561260607,0.6446060158929926
1,1.0,0.5,1.8,0.4284,0.6049692573336687,0.6470887213460752
1,1.0,0.5,1.8,0.43019999999999997,0.6069818442200392,0.6495326760997424
1,1.0,0.5,1.8,0.432,0.6089880967669242,0.6519374687372197
1,1.0,0.5,1.8,0.43379999999999996,0.610987995032169,0.6543027672379971
1,1.0,0.5,1.8,0.4356,0.6129815191499157,0.6566283185364693
